Category,Item_Name,Serial_Number,,,
Камеры,Canon EOS R6 Mark II,51034001206,,,
Камеры,Canon EOS R6 Mark II,51034001207,,,
Камеры,Canon EOS R6 Mark II,51034001208,,,
Камеры,Canon EOS R6 Mark II(брак),51034001209,,,
Камеры,Canon EOS C70,,,,
Камеры,GoPro HERO 12 Black,510134001165,,,
Камеры,Canon EOS R5C,,,,
Объективы,RF 24-70mm ,510134001172,,,
Объективы,RF 24-70mm,510134001173,,,
Объективы,RF 24-70mm,510134001174,,,
Объективы,RF 85mm ,510134001176,,,
Объективы,RF 70-200mm ,510134001175,,,
Объективы,RF 100mm,,,,
Объективы,RF 200-800mm ,,,,
Звук,RODE WIRELESS GO 2,510134001188,,,
Звук,RODE WIRELESS GO 2,510134001189,,,
Звук,Рекордер ZOOM Handy H2n ,510134001405,,,
Звук,Рекордер ZOOM Handy 8,,,,
Звук,Петличный микрофон RODE Lavalier ,,,,
Аксессуары,Аккумуляторная батарея,,,,
Стабилизаторы/ручки/прочее,Стабилизатор DJI RS4 PRO,510134001201,,,
Стабилизаторы/ручки/прочее,Стабилизатор для GoPro ,510134001200,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,Аккумуляторная батарея,,,,
Аксессуары,SD Карта Памяти 256Gb,,,,
Аксессуары,SD Карта Памяти 256Gb,,,,
Аксессуары,SD Карта Памяти 256Gb,,,,
Аксессуары,SD Карта Памяти 256Gb,,,,
Аксессуары,Аккумулятор для камеры GoPro ,,,,
